symbol,date,wert,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Museum Mensch und Natur,May 2015,20335,18620,"63,29","9,21",14436
Museum Mensch und Natur,Jun 2015,8218,12237,"-59,59","-32,84",14101
Museum Mensch und Natur,Jul 2015,12700,19248,"54,54","-34,02",13556
Museum Mensch und Natur,Aug 2015,11615,26595,"-8,54","-56,33",12307
Museum Mensch und Natur,Sep 2015,9689,13509,"-16,58","-28,28",11989
Museum Mensch und Natur,Oct 2015,15009,13879,"54,91","8,14",12083
Museum Mensch und Natur,Nov 2015,13102,9730,"-12,71","34,66",12364
Museum Mensch und Natur,Dec 2015,8685,6401,"-33,71","35,68",12554
Museum Mensch und Natur,Jan 2016,18500,12983,"113,01","42,49",13014
Museum Mensch und Natur,Feb 2016,17679,12742,"-4,44","38,75",13426
Museum Mensch und Natur,Mar 2016,19141,13122,"8,27","45,87",13927
Museum Mensch und Natur,Apr 2016,13889,12453,"-27,44","11,53",14047
Museum Mensch und Natur,May 2016,16348,20335,"17,7","-19,61",13715
Museum Mensch und Natur,Jun 2016,13362,8218,"-18,27","62,59",14143
Museum Mensch und Natur,Jul 2016,15466,12700,"15,75","21,78",14374
Museum Mensch und Natur,Aug 2016,13320,11615,"-13,88","14,68",14516
Museum Mensch und Natur,Sep 2016,8283,9689,"-37,82","-14,51",14399
Museum Mensch und Natur,Oct 2016,16955,15009,"104,7","12,97",14561
Museum Mensch und Natur,Nov 2016,14586,13102,"-13,97","11,33",14685
Museum Mensch und Natur,Dec 2016,10077,8685,"-30,91","16,03",14801
Museum Brandhorst,Jan 2012,14552,25838,"25,95","-43,68",16267
Museum Brandhorst,Feb 2012,12020,20344,"-17,4","-40,92",15574
Museum Brandhorst,Mar 2012,11895,17652,"-1,04","-32,61",15094
Museum Brandhorst,Apr 2012,17876,16641,"50,28","7,42",15197
Museum Brandhorst,May 2012,13351,14765,"-25,31","-9,58",15079
Museum Brandhorst,Jun 2012,11070,18349,"-17,08","-39,67",14472
Museum Brandhorst,Jul 2012,15545,22576,"40,42","-31,14",13886
Museum Brandhorst,Aug 2012,11671,14326,"-24,92","-18,53",13665
Museum Brandhorst,Sep 2012,11672,11320,"0,01","3,11",13694
Museum Brandhorst,Oct 2012,17838,20874,"52,83","-14,54",13441
Museum Brandhorst,Nov 2012,13881,12253,"-22,18","13,29",13577
Museum Brandhorst,Dec 2012,12875,11554,"-7,25","11,43",13687
Museum Brandhorst,Jan 2013,11251,14552,"-12,61","-22,68",13412
Museum Brandhorst,Feb 2013,10282,12020,"-8,61","-14,46",13267
Museum Brandhorst,Mar 2013,15400,11895,"49,78","29,47",13559
Museum Brandhorst,Apr 2013,10137,17876,"-34,18","-43,29",12914
Museum Brandhorst,May 2013,10738,13351,"5,93","-19,57",12697
Museum Brandhorst,Jun 2013,6395,11070,"-40,45","-42,23",12307
Museum Brandhorst,Jul 2013,4977,15545,"-22,17","-67,98",11426
Museum Brandhorst,Aug 2013,7712,11671,"54,95","-33,92",11097
Museum Brandhorst,Sep 2013,7274,11672,"-5,68","-37,68",10730
Museum Brandhorst,Oct 2013,9718,17838,"33,6","-45,52",10053
Museum Brandhorst,Nov 2013,11108,13881,"14,3","-19,98",9822
Museum Brandhorst,Dec 2013,9440,12875,"-15,02","-26,68",9536
Museum Brandhorst,Jan 2014,10244,11251,"8,52","-8,95",9452
Museum Brandhorst,Feb 2014,6917,10282,"-32,48","-32,73",9172
Museum Brandhorst,Mar 2014,8012,15400,"15,83","-47,97",8556
Museum Brandhorst,Apr 2014,8373,10137,"4,51","-17,4",8409
